experiment_name,backbone,head,loss,data_strategy,kl_mean,kl_std,kl_mean_ci_low,kl_mean_ci_high,jsd_mean,jsd_std,jsd_mean_ci_low,jsd_mean_ci_high,cosine_mean,cosine_std,cosine_mean_ci_low,cosine_mean_ci_high,soft_cross_entropy_mean,soft_cross_entropy_std,brier_mean,brier_std,total_variation_mean,total_variation_std,entropy_pearson,entropy_pearson_ci_low,entropy_pearson_ci_high,entropy_spearman,entropy_spearman_ci_low,entropy_spearman_ci_high,entropy_mae,entropy_mae_ci_low,entropy_mae_ci_high,entropy_rmse,entropy_bias,p_at_100,p_at_200,p_at_500,p_at_500_ci_low,p_at_500_ci_high,soft_ece,soft_mce,majority_top1_acc,params,training_time_sec
densenet_bc_kl,densenet_bc_40_12,temperature_mlp,kl,cifar10_pretrain_finetune,0.6270932555198669,0.8817951679229736,0.5921943381428718,0.6676631048321724,0.14993920922279358,0.16570964455604553,0.14303511492908,0.1576934326440096,0.8133490681648254,0.2827428877353668,0.8006736218929291,0.8246187552809715,0.7828856706619263,0.943618893623352,0.28386467695236206,0.3966810405254364,0.32536500692367554,0.2961019277572632,0.22742301225662231,0.18966940763471996,0.265210860729922,0.21257344682696427,0.17539332752859169,0.25325284619949734,0.9150171875953674,0.8814367264509201,0.9456712186336518,1.1619048118591309,0.8704181909561157,0.06,0.165,0.35,0.318,0.39,0.03369728848338127,0.18821188807487488,0.7615000009536743,211923,669.4446587562561
resnet18_custom,resnet18,temperature_mlp,custom,cifar10_pretrain_finetune,0.41960904002189636,0.7806738615036011,0.3888468071818352,0.4521750554442406,0.09312374889850616,0.14970740675926208,0.08715618643909692,0.10010306015610694,0.8758746981620789,0.2567424774169922,0.8639051169157028,0.8869715794920922,0.5754013657569885,0.8614247441291809,0.1898382306098938,0.3818027675151825,0.20543046295642853,0.2757858633995056,0.31516626477241516,0.2707731725581471,0.36178841465707273,0.30729295360015185,0.26957304226958384,0.3488922005486691,0.49227508902549744,0.4684852957725525,0.515076008439064,0.7320079803466797,0.38140231370925903,0.13,0.245,0.406,0.372,0.438,0.04687981307506561,0.23230114579200745,0.8330000042915344,11303243,16.085995197296143
resnet18_jsd,resnet18,temperature_mlp,jsd,cifar10_pretrain_finetune,0.43815484642982483,0.8915058970451355,0.40165742933750154,0.4763968415558338,0.08665914088487625,0.15387196838855743,0.07999018188565969,0.09399567227810621,0.8830615878105164,0.2597888112068176,0.871449089050293,0.8941320747137069,0.5939470529556274,0.9757102727890015,0.1826239675283432,0.4015781581401825,0.18586423993110657,0.2770429253578186,0.3072732090950012,0.2650459858717518,0.3542485264353426,0.3104240191273236,0.272293402849656,0.3504291073792413,0.4167693853378296,0.3942167475819588,0.43700209334492685,0.6572858691215515,0.2518336772918701,0.17,0.225,0.4,0.36295,0.438,0.05896853655576706,0.14860433340072632,0.8500000238418579,11303243,17.74934196472168
resnet18_kl,resnet18,temperature_mlp,kl,cifar10_pretrain_finetune,0.4109272062778473,0.7410184144973755,0.3818955093622208,0.4433341436088085,0.09439270198345184,0.1464986801147461,0.08847371339797974,0.1010045362636447,0.876335620880127,0.2520159184932709,0.8649657890200615,0.8869565039873123,0.5667194724082947,0.8230375647544861,0.18786752223968506,0.3666702210903168,0.21060307323932648,0.2736057639122009,0.313245564699173,0.271276611035219,0.3563478984878711,0.31022752242953683,0.2724741612553536,0.3503219500184638,0.5329930186271667,0.5079542830586433,0.5560941964387893,0.7828222513198853,0.43404117226600647,0.12,0.22,0.398,0.364,0.43504999999999994,0.02959265187382698,0.16596947610378265,0.8385000228881836,11303243,296.0650894641876
resnet18_linear_kl,resnet18,linear,kl,cifar10_pretrain_finetune,0.42179009318351746,0.8534849286079407,0.38610846027731893,0.45830886736512183,0.08674141019582748,0.14889872074127197,0.08060674462467432,0.09280384369194508,0.8828483819961548,0.2541634142398834,0.8717378437519073,0.8929237768054008,0.5775823593139648,0.9422503709793091,0.17931929230690002,0.3801782727241516,0.1898781806230545,0.27376681566238403,0.3219927251338959,0.2759275302438801,0.3695281513982434,0.3213799700954082,0.28453790006438046,0.36031705960677946,0.4448682367801666,0.4203236952424049,0.4672899074852466,0.6894180178642273,0.3027322590351105,0.16,0.24,0.418,0.376,0.45,0.04708079993724823,0.24648383259773254,0.8535000085830688,11173962,28.85912537574768
resnet18_mlp_kl,resnet18,mlp,kl,cifar10_pretrain_finetune,0.3899294435977936,0.8076319694519043,0.35700020417571066,0.42213524132966995,0.0825093686580658,0.14754271507263184,0.07659364715218545,0.08835608400404453,0.8886088132858276,0.25194716453552246,0.8786685541272163,0.8992865636944771,0.5457216501235962,0.8876975178718567,0.1726047694683075,0.38512295484542847,0.1815294325351715,0.2681683599948883,0.3571629226207733,0.3153539408765633,0.4035224756851828,0.35674839601542335,0.31791484416529026,0.39329368460466774,0.41960448026657104,0.3988457962870598,0.4389481030404568,0.6450760364532471,0.29607459902763367,0.16,0.23,0.452,0.418,0.488,0.046846646815538406,0.2657511234283447,0.8585000038146973,11303242,54.99691009521485
resnet18_soft_only_kl,resnet18,temperature_mlp,kl,soft_only_random_init,0.9643720388412476,1.3248034715652466,0.9060776457190514,1.0186517715454102,0.19850020110607147,0.2116413712501526,0.18899460770189763,0.20724133364856243,0.719535768032074,0.3597503900527954,0.7046338886022567,0.7355905294418335,1.1201645135879517,1.3691209554672241,0.42799535393714905,0.5425134301185608,0.39033615589141846,0.3494466245174408,0.18176212906837463,0.14434093837480985,0.21605394535051137,0.17925420288260518,0.1422154672938508,0.2186558331223279,0.858458936214447,0.8287839502096176,0.8895228728652,1.113160252571106,0.7919757962226868,0.06,0.155,0.34,0.308,0.38,0.11503290385007858,0.1740453839302063,0.6535000205039978,11303243,56.21779274940491
vgg13_bn_kl,vgg13_bn,temperature_mlp,kl,cifar10_pretrain_finetune,0.41594648361206055,0.7679351568222046,0.38316298425197604,0.4503247134387493,0.09618350118398666,0.14985603094100952,0.08934652488678693,0.10313548538833857,0.8755899667739868,0.25577014684677124,0.8641870871186257,0.8867984279990196,0.5717388987541199,0.8486658334732056,0.18770156800746918,0.37096285820007324,0.21288065612316132,0.27703025937080383,0.3212997615337372,0.2774789634101871,0.36362796256089563,0.3131807436128321,0.2773896534089316,0.35378077479549386,0.5658974647521973,0.5372251078486443,0.5906602248549462,0.8279326558113098,0.47838351130485535,0.1,0.22,0.42,0.388,0.458,0.028057383373379707,0.2051265835762024,0.8324999809265137,9542347,148.32113099098206
wrn28_2_custom,wideresnet28_2,temperature_mlp,custom,cifar10_pretrain_finetune,0.4524978995323181,0.9226276278495789,0.41119686514139175,0.4913350820541382,0.09014448523521423,0.15446525812149048,0.08279202058911324,0.09678065255284309,0.8789606094360352,0.2604982852935791,0.8679030328989029,0.8909742310643196,0.6082900762557983,0.9989106059074402,0.18863306939601898,0.39918845891952515,0.1949818879365921,0.27767619490623474,0.3165605068206787,0.27702290682632036,0.3620545188120899,0.32882834743895967,0.2888424098765278,0.3672886812842073,0.43892696499824524,0.41571340784430505,0.45960521847009655,0.6720178723335266,0.3011433184146881,0.13,0.22,0.43,0.39495,0.462,0.05148196220397949,0.26786571741104126,0.843500018119812,1502427,17.589391946792603
wrn28_2_jsd,wideresnet28_2,temperature_mlp,jsd,cifar10_pretrain_finetune,0.45649874210357666,0.8697142601013184,0.41962359473109245,0.4937369368970394,0.0920744389295578,0.1546347588300705,0.08534447699785233,0.09903434980660678,0.8746861219406128,0.2619524598121643,0.8634463220834732,0.8858549013733864,0.6122908592224121,0.9537432789802551,0.19396698474884033,0.3993855118751526,0.19896374642848969,0.2820383906364441,0.2989281117916107,0.26028983993454186,0.34071075202322654,0.32017119348064604,0.2836837702151973,0.3597266997673391,0.44356849789619446,0.41979857459664344,0.4656239733099937,0.6899208426475525,0.29582715034484863,0.09,0.21,0.414,0.374,0.444,0.056027352809906006,0.19367749989032745,0.8389999866485596,1502427,16.492499351501465
